,Time1,DAU1,Time2,DAU2,Time3,DAU3,Time4,DAU4,Time5,DAU5,Time6,DAU6,Time7,DAU7,Time8,DAU8,Time9,DAU9,Time10,DAU10,Time11,DAU11,Time12,DAU12,Time13,DAU13,Time14,smbi,Time15,label
0,-7,-0.000610352,-7,0.001831055,-7,-0.000305176,-7,-0.001831055,-7,0.000610352,-7,0.001831055,-7,-0.000610352,-7,0.002136231,-7,-0.002136231,-7,0.000915527,-7,-0.001525879,-7,0.003051758,-7,0.000305176,-7,-0.003166805,-6,-0.04475666
1,-6.9,0.000305176,-6.9,0.002441406,-6.9,0.001525879,-6.9,-0.003662109,-6.9,0.002136231,-6.9,0.002136231,-6.9,0.000305176,-6.9,0.001525879,-6.9,-0.002746582,-6.9,0.000915527,-6.9,-0.001831055,-6.9,0.002441406,-6.9,0.000610352,-6.9,-0.031502046,-5.9,-0.047642536
2,-6.799999999,0.002746582,-6.799999999,0.001220703,-6.799999999,0.001525879,-6.799999999,-0.002136231,-6.799999999,0.002136231,-6.799999999,0.003356934,-6.799999999,-0.000305176,-6.799999999,0.002136231,-6.799999999,-0.001220703,-6.799999999,0.002136231,-6.799999999,0,-6.799999999,0.003662109,-6.799999999,0.000915527,-6.799999999,-0.047016837,-5.799999999,-0.049123786
3,-6.7,0,-6.7,0.002746582,-6.7,0.000915527,-6.7,-0.003051758,-6.7,0.000610352,-6.7,0.002136231,-6.7,-0.000610352,-6.7,0.002746582,-6.7,-0.003356934,-6.7,0.001831055,-6.7,-0.001525879,-6.7,0.002746582,-6.7,-0.000610352,-6.7,-0.052597053,-5.7,-0.043415874
4,-6.599999999,-0.000915527,-6.599999999,0.001220703,-6.599999999,0,-6.599999999,-0.000915527,-6.599999999,0.000305176,-6.599999999,0.001525879,-6.599999999,-0.001220703,-6.599999999,0.001220703,-6.599999999,-0.003356934,-6.599999999,0.001220703,-6.599999999,-0.002136231,-6.599999999,0.001525879,-6.599999999,0.000305176,-6.599999999,-0.051115807,-5.599999999,-0.035830867
5,-6.5,0,-6.5,0.002441406,-6.5,0,-6.5,-0.003662109,-6.5,-0.000610352,-6.5,0.001525879,-6.5,-0.001220703,-6.5,0.001831055,-6.5,-0.003662109,-6.5,0,-6.5,-0.001525879,-6.5,0.002136231,-6.5,-0.000610352,-6.5,-0.046059135,-5.5,-0.022525176
6,-6.4,-0.000305176,-6.4,0.002136231,-6.4,0.001220703,-6.4,0,-6.4,0.001220703,-6.4,0.001220703,-6.4,-0.001220703,-6.4,0.001525879,-6.4,-0.002441406,-6.4,0.000610352,-6.4,-0.002136231,-6.4,0.002746582,-6.4,-0.000305176,-6.4,-0.038269818,-5.4,-0.016434185
7,-6.299999999,-0.001220703,-6.299999999,0.001525879,-6.299999999,-0.000915527,-6.299999999,-0.001525879,-6.299999999,0.000305176,-6.299999999,0.000305176,-6.299999999,-0.000915527,-6.299999999,0.001831055,-6.299999999,-0.002746582,-6.299999999,0.000915527,-6.299999999,-0.002136231,-6.299999999,0.001525879,-6.299999999,-0.000915527,-6.299999999,-0.038231507,-5.299999999,-0.00858102
8,-6.2,0.001220703,-6.2,0.001525879,-6.2,0.001525879,-6.2,0,-6.2,0.000915527,-6.2,0.002136231,-6.2,-0.001525879,-6.2,0.003356934,-6.2,-0.002136231,-6.2,0.001220703,-6.2,-0.001525879,-6.2,0.001831055,-6.2,-0.000610352,-6.2,-0.035613786,-5.2,0.000676777
9,-6.099999999,0.001220703,-6.099999999,0.001525879,-6.099999999,0.000915527,-6.099999999,-0.001831055,-6.099999999,0.001525879,-6.099999999,0.002746582,-6.099999999,0.000305176,-6.099999999,0.003662109,-6.099999999,-0.000610352,-6.099999999,0.002136231,-6.099999999,0.000305176,-6.099999999,0.003356934,-6.099999999,0.000915527,-6.099999999,-0.034260232,-5.099999999,-0.002707108
